1000mA,,1500mA,,2000mA,,,1A,41min 10s,,1000mA,,,1500mA,,,2000mA,,,,
In,Out,In,Out,In,Out,,1.5A,17min 26s,,In,Out,Diff,In,Out,,In,Out,,,
22.6,22,29.01,28.76,32.32,34.76,,,,,24.14,23.54,0.6,28.69,28.44,0.25,36.08,38.54,-2.46,-0.64,
22.63,21.96,29.07,28.76,32.42,34.9,,,,,24.17,23.5,0.67,28.75,28.44,0.31,36.18,38.68,-2.5,-0.58,
22.67,21.91,29.13,28.85,32.52,34.91,,,,,24.21,23.45,0.76,28.81,28.53,0.28,36.28,38.69,-2.41,-0.61,
22.69,21.98,29.19,28.94,32.64,34.81,,,,,24.23,23.52,0.71,28.87,28.62,0.25,36.4,38.59,-2.19,-0.64,
22.7,22,29.25,29.03,32.73,34.87,,,,,24.24,23.54,0.7,28.93,28.71,0.22,36.49,38.65,-2.16,-0.67,
22.75,22.08,29.31,29.05,32.86,35.03,,,,,24.29,23.62,0.67,28.99,28.73,0.26,36.62,38.81,-2.19,-0.63,
22.77,22.09,29.34,29.13,32.95,35.11,,,,,24.31,23.63,0.68,29.02,28.81,0.21,36.71,38.89,-2.18,-0.68,
22.78,22.09,29.43,29.09,33.07,35.26,,,,,24.32,23.63,0.69,29.11,28.77,0.34,36.83,39.04,-2.21,-0.55,
22.81,22.11,29.48,29.1,33.17,35.27,,,,,24.35,23.65,0.7,29.16,28.78,0.38,36.93,39.05,-2.12,-0.51,
22.85,22.17,29.53,29.18,33.27,35.22,,,,,24.39,23.71,0.68,29.21,28.86,0.35,37.03,39,-1.97,-0.54,
22.86,22.22,29.61,29.28,33.37,35.22,,,,,24.4,23.76,0.64,29.29,28.96,0.33,37.13,39,-1.87,-0.56,
22.89,22.22,29.65,29.32,33.47,35.32,,,,,24.43,23.76,0.67,29.33,29,0.33,37.23,39.1,-1.87,-0.56,
22.93,22.18,29.71,29.25,33.57,35.42,,,,,24.47,23.72,0.75,29.39,28.93,0.46,37.33,39.2,-1.87,-0.43,
22.95,22.23,29.78,29.23,33.67,35.42,,,,,24.49,23.77,0.72,29.46,28.91,0.55,37.43,39.2,-1.77,-0.34,
22.97,22.26,29.81,29.32,33.79,35.33,,,,,24.51,23.8,0.71,29.49,29,0.49,37.55,39.11,-1.56,-0.4,
23.02,22.26,29.89,29.41,33.9,35.09,,,,,24.56,23.8,0.76,29.57,29.09,0.48,37.66,38.87,-1.21,-0.41,
23.03,22.35,29.95,29.41,34,34.95,,,,,24.57,23.89,0.68,29.63,29.09,0.54,37.76,38.73,-0.97,-0.35,
23.04,22.35,29.99,29.5,34.11,35.01,,,,,24.58,23.89,0.69,29.67,29.18,0.49,37.87,38.79,-0.92,-0.4,
23.09,22.35,30.08,29.5,34.21,35.25,,,,,24.63,23.89,0.74,29.76,29.18,0.58,37.97,39.03,-1.06,-0.31,
23.12,22.37,30.12,29.41,34.32,35.39,,,,,24.66,23.91,0.75,29.8,29.09,0.71,38.08,39.17,-1.09,-0.18,
23.12,22.44,30.17,29.34,34.42,35.32,,,,,24.66,23.98,0.68,29.85,29.02,0.83,38.18,39.1,-0.92,-0.06,
23.17,22.44,30.24,29.46,34.52,35.36,,,,,24.71,23.98,0.73,29.92,29.14,0.78,38.28,39.14,-0.86,-0.11,
23.2,22.44,30.28,29.54,34.62,35.7,,,,,24.74,23.98,0.76,29.96,29.22,0.74,38.38,39.48,-1.1,-0.15,
23.21,22.44,30.35,29.6,34.72,35.92,,,,,24.75,23.98,0.77,30.03,29.28,0.75,38.48,39.7,-1.22,-0.14,
23.24,22.46,30.41,29.62,34.82,36.04,,,,,24.78,24,0.78,30.09,29.3,0.79,38.58,39.82,-1.24,-0.1,
23.29,22.53,30.46,29.71,34.92,36.13,,,,,24.83,24.07,0.76,30.14,29.39,0.75,38.68,39.91,-1.23,-0.14,
23.29,22.53,30.52,29.78,35.02,36.13,,,,,24.83,24.07,0.76,30.2,29.46,0.74,38.78,39.91,-1.13,-0.15,
23.32,22.62,30.58,29.9,35.12,36.1,,,,,24.86,24.16,0.7,30.26,29.58,0.68,38.88,39.88,-1,-0.21,
23.37,22.62,30.64,30.01,35.22,36.11,,,,,24.91,24.16,0.75,30.32,29.69,0.63,38.98,39.89,-0.91,-0.26,
23.38,22.69,30.71,29.99,35.32,36.09,,,,,24.92,24.23,0.69,30.39,29.67,0.72,39.08,39.87,-0.79,-0.17,
23.39,22.7,30.73,30.03,35.42,36.13,,,,,24.93,24.24,0.69,30.41,29.71,0.7,39.18,39.91,-0.73,-0.19,
23.43,22.72,30.81,29.97,35.51,36.06,,,,,24.97,24.26,0.71,30.49,29.65,0.84,39.27,39.84,-0.57,-0.05,
23.47,22.78,30.83,29.97,35.62,36.03,,,,,25.01,24.32,0.69,30.51,29.65,0.86,39.38,39.81,-0.43,-0.03,
23.47,22.79,30.91,30.03,35.71,36.02,,,,,25.01,24.33,0.68,30.59,29.71,0.88,39.47,39.8,-0.33,-0.01,
23.53,22.79,30.97,30.2,35.82,36.13,,,,,25.07,24.33,0.74,30.65,29.88,0.77,39.58,39.91,-0.33,-0.12,
23.55,22.8,31.02,30.3,35.92,36.32,,,,,25.09,24.34,0.75,30.7,29.98,0.72,39.68,40.1,-0.42,-0.17,
23.55,22.86,31.08,30.39,36.01,36.53,,,,,25.09,24.4,0.69,30.76,30.07,0.69,39.77,40.31,-0.54,-0.2,
23.58,22.88,31.13,30.47,36.12,36.6,,,,,25.12,24.42,0.7,30.81,30.15,0.66,39.88,40.38,-0.5,-0.23,
23.63,22.91,31.19,30.54,36.23,36.74,,,,,25.17,24.45,0.72,30.87,30.22,0.65,39.99,40.52,-0.53,-0.24,
23.64,22.96,31.25,30.63,36.33,36.65,,,,,25.18,24.5,0.68,30.93,30.31,0.62,40.09,40.43,-0.34,-0.27,
23.65,22.97,31.3,30.64,36.43,36.67,,,,,25.19,24.51,0.68,30.98,30.32,0.66,40.19,40.45,-0.26,-0.23,
23.7,22.97,31.37,30.71,36.53,36.74,,,,,25.24,24.51,0.73,31.05,30.39,0.66,40.29,40.52,-0.23,-0.23,
23.73,22.97,31.41,30.73,36.64,36.51,,,,,25.27,24.51,0.76,31.09,30.41,0.68,40.4,40.29,0.11,-0.21,
23.73,22.97,31.47,30.82,36.74,36.54,,,,,25.27,24.51,0.76,31.15,30.5,0.65,40.5,40.32,0.18,-0.24,
23.78,22.97,31.52,30.82,36.83,36.49,,,,,25.32,24.51,0.81,31.2,30.5,0.7,40.59,40.27,0.32,-0.19,
23.81,22.99,31.57,30.82,36.93,36.65,,,,,25.35,24.53,0.82,31.25,30.5,0.75,40.69,40.43,0.26,-0.14,
23.82,23.06,31.64,30.87,37.02,36.94,,,,,25.36,24.6,0.76,31.32,30.55,0.77,40.78,40.72,0.06,-0.12,
23.85,23.06,31.69,30.92,37.12,37.19,,,,,25.39,24.6,0.79,31.37,30.6,0.77,40.88,40.97,-0.09,-0.12,
23.89,23.06,31.75,31,37.23,37.36,,,,,25.43,24.6,0.83,31.43,30.68,0.75,40.99,41.14,-0.15,-0.14,
23.91,23,31.8,30.98,37.33,37.32,,,,,25.45,24.54,0.91,31.48,30.66,0.82,41.09,41.1,-0.01,-0.07,
23.91,23.06,31.86,31.01,37.43,37.27,,,,,25.45,24.6,0.85,31.54,30.69,0.85,41.19,41.05,0.14,-0.04,
23.97,23.06,31.93,31.07,37.54,37.14,,,,,25.51,24.6,0.91,31.61,30.75,0.86,41.3,40.92,0.38,-0.03,
23.99,23.12,31.96,31.2,37.63,37.25,,,,,25.53,24.66,0.87,31.64,30.88,0.76,41.39,41.03,0.36,-0.13,
23.99,23.15,32.03,31.3,37.74,37.27,,,,,25.53,24.69,0.84,31.71,30.98,0.73,41.5,41.05,0.45,-0.16,
24.02,23.21,32.08,31.27,37.84,37.36,,,,,25.56,24.75,0.81,31.76,30.95,0.81,41.6,41.14,0.46,-0.08,
24.07,23.24,32.13,31.28,37.94,37.17,,,,,25.61,24.78,0.83,31.81,30.96,0.85,41.7,40.95,0.75,-0.04,
24.08,23.3,32.2,31.27,38.05,37.4,,,,,25.62,24.84,0.78,31.88,30.95,0.93,41.81,41.18,0.63,0.04,
24.1,23.32,32.24,31.2,38.15,37.65,,,,,25.64,24.86,0.78,31.92,30.88,1.04,41.91,41.43,0.48,0.15,
24.14,23.32,32.3,31.21,38.24,37.84,,,,,25.68,24.86,0.82,31.98,30.89,1.09,42,41.62,0.38,0.2,
24.16,23.33,32.34,31.23,38.35,37.92,,,,,25.7,24.87,0.83,32.02,30.91,1.11,42.11,41.7,0.41,0.22,
24.17,23.36,32.41,31.25,38.45,37.28,,,,,25.71,24.9,0.81,32.09,30.93,1.16,42.21,41.06,1.15,0.27,
24.2,23.38,32.47,31.3,38.55,36.83,,,,,25.74,24.92,0.82,32.15,30.98,1.17,42.31,40.61,1.7,0.28,
24.24,23.42,32.52,31.36,38.62,37.18,,,,,25.78,24.96,0.82,32.2,31.04,1.16,42.38,40.96,1.42,0.27,
24.25,23.42,32.58,31.39,38.72,37.35,,,,,25.79,24.96,0.83,32.26,31.07,1.19,42.48,41.13,1.35,0.3,
24.27,23.44,32.62,31.39,38.82,37.46,,,,,25.81,24.98,0.83,32.3,31.07,1.23,42.58,41.24,1.34,0.34,
24.32,23.5,32.7,31.4,38.92,37.72,,,,,25.86,25.04,0.82,32.38,31.08,1.3,42.68,41.5,1.18,0.41,
24.34,23.5,32.73,31.48,39.02,38.03,,,,,25.88,25.04,0.84,32.41,31.16,1.25,42.78,41.81,0.97,0.36,
24.34,23.5,32.79,31.49,39.11,38.37,,,,,25.88,25.04,0.84,32.47,31.17,1.3,42.87,42.15,0.72,0.41,
24.38,23.51,32.84,31.58,39.21,38.63,,,,,25.92,25.05,0.87,32.52,31.26,1.26,42.97,42.41,0.56,0.37,
24.42,23.57,32.89,31.72,39.32,38.8,,,,,25.96,25.11,0.85,32.57,31.4,1.17,43.08,42.58,0.5,0.28,
24.43,23.59,32.96,31.84,39.41,38.96,,,,,25.97,25.13,0.84,32.64,31.52,1.12,43.17,42.74,0.43,0.23,
24.45,23.59,32.99,32,39.51,38.91,,,,,25.99,25.13,0.86,32.67,31.68,0.99,43.27,42.69,0.58,0.1,
24.5,23.59,33.07,32.18,39.62,38.9,,,,,26.04,25.13,0.91,32.75,31.86,0.89,43.38,42.68,0.7,0,
24.52,23.59,33.12,32.31,39.73,39.16,,,,,26.06,25.13,0.93,32.8,31.99,0.81,43.49,42.94,0.55,-0.08,
24.52,23.62,33.18,32.38,39.83,39.2,,,,,26.06,25.16,0.9,32.86,32.06,0.8,43.59,42.98,0.61,-0.09,
24.56,23.68,33.25,32.45,39.94,39.26,,,,,26.1,25.22,0.88,32.93,32.13,0.8,43.7,43.04,0.66,-0.09,
24.6,23.68,33.29,32.45,40.04,39.38,,,,,26.14,25.22,0.92,32.97,32.13,0.84,43.8,43.16,0.64,-0.05,
24.6,23.7,33.36,32.55,40.13,39.61,,,,,26.14,25.24,0.9,33.04,32.23,0.81,43.89,43.39,0.5,-0.08,
24.63,23.77,33.39,32.55,40.22,39.75,,,,,26.17,25.31,0.86,33.07,32.23,0.84,43.98,43.53,0.45,-0.05,
24.67,23.77,33.46,32.55,40.3,40,,,,,26.21,25.31,0.9,33.14,32.23,0.91,44.06,43.78,0.28,0.02,
24.69,23.81,33.52,32.56,40.39,40.12,,,,,26.23,25.35,0.88,33.2,32.24,0.96,44.15,43.9,0.25,0.07,
24.7,23.86,33.57,32.55,40.48,40.14,,,,,26.24,25.4,0.84,33.25,32.23,1.02,44.24,43.92,0.32,0.13,
24.73,23.86,33.63,32.64,40.59,40.21,,,,,26.27,25.4,0.87,33.31,32.32,0.99,44.35,43.99,0.36,0.1,
24.77,23.86,33.67,32.65,40.69,40.07,,,,,26.31,25.4,0.91,33.35,32.33,1.02,44.45,43.85,0.6,0.13,
24.78,23.87,33.74,32.65,40.8,40.14,,,,,26.32,25.41,0.91,33.42,32.33,1.09,44.56,43.92,0.64,0.2,
24.8,23.94,33.77,32.65,40.91,40.33,,,,,26.34,25.48,0.86,33.45,32.33,1.12,44.67,44.11,0.56,0.23,
24.83,23.95,33.84,32.74,41.01,40.37,,,,,26.37,25.49,0.88,33.52,32.42,1.1,44.77,44.15,0.62,0.21,
24.87,23.95,33.88,32.74,41.1,40.37,,,,,26.41,25.49,0.92,33.56,32.42,1.14,44.86,44.15,0.71,0.25,
24.87,23.95,33.94,32.82,41.19,40.45,,,,,26.41,25.49,0.92,33.62,32.5,1.12,44.95,44.23,0.72,0.23,
24.91,23.95,34,32.96,41.27,40.47,,,,,26.45,25.49,0.96,33.68,32.64,1.04,45.03,44.25,0.78,0.15,
24.95,24.04,34.05,33.1,41.37,40.52,,,,,26.49,25.58,0.91,33.73,32.78,0.95,45.13,44.3,0.83,0.06,
24.96,24.06,34.11,33.23,41.46,40.59,,,,,26.5,25.6,0.9,33.79,32.91,0.88,45.22,44.37,0.85,-0.01,
24.97,24.12,34.14,33.33,41.57,40.7,,,,,26.51,25.66,0.85,33.82,33.01,0.81,45.33,44.48,0.85,-0.08,
25.02,24.11,34.22,33.26,41.68,40.81,,,,,26.56,25.65,0.91,33.9,32.94,0.96,45.44,44.59,0.85,0.07,
25.04,24.13,34.25,33.32,41.79,40.7,,,,,26.58,25.67,0.91,33.93,33,0.93,45.55,44.48,1.07,0.04,
25.05,24.13,34.32,33.24,41.89,40.94,,,,,26.59,25.67,0.92,34,32.92,1.08,45.65,44.72,0.93,0.19,
25.08,24.13,34.35,33.22,41.97,41.23,,,,,26.62,25.67,0.95,34.03,32.9,1.13,45.73,45.01,0.72,0.24,
25.13,24.13,34.43,33.31,42.05,41.44,,,,,26.67,25.67,1,34.11,32.99,1.12,45.81,45.22,0.59,0.23,
25.13,24.13,34.46,33.34,42.13,41.57,,,,,26.67,25.67,1,34.14,33.02,1.12,45.89,45.35,0.54,0.23,
25.15,24.21,34.53,33.41,42.24,41.7,,,,,26.69,25.75,0.94,34.21,33.09,1.12,46,45.48,0.52,0.23,
25.2,24.24,34.59,33.38,42.35,41.81,,,,,26.74,25.78,0.96,34.27,33.06,1.21,46.11,45.59,0.52,0.32,
25.22,24.31,34.63,33.43,42.46,41.71,,,,,26.76,25.85,0.91,34.31,33.11,1.2,46.22,45.49,0.73,0.31,
25.23,24.31,34.7,33.52,42.55,41.76,,,,,26.77,25.85,0.92,34.38,33.2,1.18,46.31,45.54,0.77,0.29,
25.25,24.39,34.73,33.53,42.63,41.71,,,,,26.79,25.93,0.86,34.41,33.21,1.2,46.39,45.49,0.9,0.31,
25.3,24.4,34.8,33.59,42.71,41.9,,,,,26.84,25.94,0.9,34.48,33.27,1.21,46.47,45.68,0.79,0.32,
25.31,24.47,34.83,33.69,42.8,41.96,,,,,26.85,26.01,0.84,34.51,33.37,1.14,46.56,45.74,0.82,0.25,
25.32,24.49,34.91,33.81,42.91,42.14,,,,,26.86,26.03,0.83,34.59,33.49,1.1,46.67,45.92,0.75,0.21,
25.36,24.49,34.97,33.86,43.03,42.25,,,,,26.9,26.03,0.87,34.65,33.54,1.11,46.79,46.03,0.76,0.22,
25.39,24.49,35.02,33.98,43.14,42.33,,,,,26.93,26.03,0.9,34.7,33.66,1.04,46.9,46.11,0.79,0.15,
25.4,24.49,35.04,34.11,43.21,42.36,,,,,26.94,26.03,0.91,34.72,33.79,0.93,46.97,46.14,0.83,0.04,
25.42,24.52,35.12,34.05,43.3,42.16,,,,,26.96,26.06,0.9,34.8,33.73,1.07,47.06,45.94,1.12,0.18,
25.47,24.57,35.19,34.02,43.38,42.17,,,,,27.01,26.11,0.9,34.87,33.7,1.17,47.14,45.95,1.19,0.28,
25.48,24.58,35.22,33.86,43.49,42.36,,,,,27.02,26.12,0.9,34.9,33.54,1.36,47.25,46.14,1.11,0.47,
25.49,24.58,35.28,33.76,43.6,42.61,,,,,27.03,26.12,0.91,34.96,33.44,1.52,47.36,46.39,0.97,0.63,
25.53,24.61,35.32,33.82,43.72,42.73,,,,,27.07,26.15,0.92,35,33.5,1.5,47.48,46.51,0.97,0.61,
25.57,24.66,35.36,33.84,43.81,42.73,,,,,27.11,26.2,0.91,35.04,33.52,1.52,47.57,46.51,1.06,0.63,
25.57,24.67,35.42,34.02,43.87,42.74,,,,,27.11,26.21,0.9,35.1,33.7,1.4,47.63,46.52,1.11,0.51,
25.59,24.67,35.49,34.11,43.96,42.7,,,,,27.13,26.21,0.92,35.17,33.79,1.38,47.72,46.48,1.24,0.49,
25.63,24.67,35.52,34.19,44.06,42.64,,,,,27.17,26.21,0.96,35.2,33.87,1.33,47.82,46.42,1.4,0.44,
25.66,24.75,35.6,34.31,44.18,42.85,,,,,27.2,26.29,0.91,35.28,33.99,1.29,47.94,46.63,1.31,0.4,
25.67,24.75,35.62,34.4,44.28,42.98,,,,,27.21,26.29,0.92,35.3,34.08,1.22,48.04,46.76,1.28,0.33,
25.7,24.81,35.7,34.51,44.36,43.19,,,,,27.24,26.35,0.89,35.38,34.19,1.19,48.12,46.97,1.15,0.3,
25.74,24.84,35.74,34.62,44.44,43.37,,,,,27.28,26.38,0.9,35.42,34.3,1.12,48.2,47.15,1.05,0.23,
25.75,24.84,35.8,34.71,44.54,43.48,,,,,27.29,26.38,0.91,35.48,34.39,1.09,48.3,47.26,1.04,0.2,
25.76,24.84,35.83,34.79,44.65,43.34,,,,,27.3,26.38,0.92,35.51,34.47,1.04,48.41,47.12,1.29,0.15,
25.79,24.84,35.91,34.81,44.76,43.24,,,,,27.33,26.38,0.95,35.59,34.49,1.1,48.52,47.02,1.5,0.21,
25.84,24.84,35.95,34.91,44.85,43.39,,,,,27.38,26.38,1,35.63,34.59,1.04,48.61,47.17,1.44,0.15,
25.84,24.89,36.01,34.82,44.93,43.43,,,,,27.38,26.43,0.95,35.69,34.5,1.19,48.69,47.21,1.48,0.3,
25.86,24.92,36.05,34.81,45.01,43.41,,,,,27.4,26.46,0.94,35.73,34.49,1.24,48.77,47.19,1.58,0.35,
25.91,24.93,36.11,34.72,45.12,43.53,,,,,27.45,26.47,0.98,35.79,34.4,1.39,48.88,47.31,1.57,0.5,
25.93,24.93,36.16,34.81,45.24,43.73,,,,,27.47,26.47,1,35.84,34.49,1.35,49,47.51,1.49,0.46,
25.93,24.97,36.21,34.74,45.34,43.98,,,,,27.47,26.51,0.96,35.89,34.42,1.47,49.1,47.76,1.34,0.58,
25.99,25.02,36.28,34.62,45.41,44.21,,,,,27.53,26.56,0.97,35.96,34.3,1.66,49.17,47.99,1.18,0.77,
26.01,25.08,36.31,34.59,45.49,44.37,,,,,27.55,26.62,0.93,35.99,34.27,1.72,49.25,48.15,1.1,0.83,
26.02,25.08,36.38,34.51,45.6,44.5,,,,,27.56,26.62,0.94,36.06,34.19,1.87,49.36,48.28,1.08,0.98,
26.03,25.11,36.42,34.42,45.72,44.53,,,,,27.57,26.65,0.92,36.1,34.1,2,49.48,48.31,1.17,1.11,
26.09,25.12,36.48,34.49,45.82,44.41,,,,,27.63,26.66,0.97,36.16,34.17,1.99,49.58,48.19,1.39,1.1,
26.1,25.17,36.52,34.61,45.9,44.52,,,,,27.64,26.71,0.93,36.2,34.29,1.91,49.66,48.3,1.36,1.02,
26.11,25.2,36.59,34.69,46,44.63,,,,,27.65,26.74,0.91,36.27,34.37,1.9,49.76,48.41,1.35,1.01,
26.14,25.18,36.62,34.75,46.09,44.52,,,,,27.68,26.72,0.96,36.3,34.43,1.87,49.85,48.3,1.55,0.98,
26.18,25.2,36.69,34.81,46.2,44.44,,,,,27.72,26.74,0.98,36.37,34.49,1.88,49.96,48.22,1.74,0.99,
26.19,25.2,36.72,34.91,46.32,44.34,,,,,27.73,26.74,0.99,36.4,34.59,1.81,50.08,48.12,1.96,0.92,
26.2,25.25,36.79,35.01,46.4,44.38,,,,,27.74,26.79,0.95,36.47,34.69,1.78,50.16,48.16,2,0.89,
26.25,25.29,36.83,35.11,46.46,44.4,,,,,27.79,26.83,0.96,36.51,34.79,1.72,50.22,48.18,2.04,0.83,
26.28,25.29,36.89,35.14,46.57,44.4,,,,,27.82,26.83,0.99,36.57,34.82,1.75,50.33,48.18,2.15,0.86,
26.28,25.29,36.92,35.21,46.69,44.53,,,,,27.82,26.83,0.99,36.6,34.89,1.71,50.45,48.31,2.14,0.82,
26.31,25.3,36.98,35.22,46.75,44.61,,,,,27.85,26.84,1.01,36.66,34.9,1.76,50.51,48.39,2.12,0.87,
26.35,25.36,37.02,35.38,46.82,44.72,,,,,27.89,26.9,0.99,36.7,35.06,1.64,50.58,48.5,2.08,0.75,
26.37,25.38,37.09,35.52,46.94,44.62,,,,,27.91,26.92,0.99,36.77,35.2,1.57,50.7,48.4,2.3,0.68,
26.37,25.39,37.12,35.53,47.05,44.75,,,,,27.91,26.93,0.98,36.8,35.21,1.59,50.81,48.53,2.28,0.7,
26.39,25.46,37.17,35.62,47.13,44.98,,,,,27.93,27,0.93,36.85,35.3,1.55,50.89,48.76,2.13,0.66,
26.44,25.47,37.22,35.72,47.19,44.98,,,,,27.98,27.01,0.97,36.9,35.4,1.5,50.95,48.76,2.19,0.61,
26.46,25.47,37.29,35.72,47.31,45.04,,,,,28,27.01,0.99,36.97,35.4,1.57,51.07,48.82,2.25,0.68,
26.47,25.47,37.33,35.82,47.43,45.08,,,,,28.01,27.01,1,37.01,35.5,1.51,51.19,48.86,2.33,0.62,
26.48,25.47,37.36,35.82,47.49,45.26,,,,,28.02,27.01,1.01,37.04,35.5,1.54,51.25,49.04,2.21,0.65,
26.54,25.48,37.43,35.78,47.57,45.48,,,,,28.08,27.02,1.06,37.11,35.46,1.65,51.33,49.26,2.07,0.76,
26.55,25.54,37.49,35.81,47.69,45.7,,,,,28.09,27.08,1.01,37.17,35.49,1.68,51.45,49.48,1.97,0.79,
26.56,25.49,37.52,35.79,47.77,45.71,,,,,28.1,27.03,1.07,37.2,35.47,1.73,51.53,49.49,2.04,0.84,
26.61,25.46,37.57,35.72,47.82,45.62,,,,,28.15,27,1.15,37.25,35.4,1.85,51.58,49.4,2.18,0.96,
26.64,25.47,37.63,35.72,47.94,45.72,,,,,28.18,27.01,1.17,37.31,35.4,1.91,51.7,49.5,2.2,1.02,
26.64,25.51,37.65,35.71,48.06,45.81,,,,,28.18,27.05,1.13,37.33,35.39,1.94,51.82,49.59,2.23,1.05,
26.65,25.56,37.73,35.64,48.13,45.83,,,,,28.19,27.1,1.09,37.41,35.32,2.09,51.89,49.61,2.28,1.2,
26.7,25.65,37.76,35.62,48.2,45.83,,,,,28.24,27.19,1.05,37.44,35.3,2.14,51.96,49.61,2.35,1.25,
26.73,25.65,37.83,35.7,48.32,45.95,,,,,28.27,27.19,1.08,37.51,35.38,2.13,52.08,49.73,2.35,1.24,
26.73,25.66,37.86,35.85,48.44,45.88,,,,,28.27,27.2,1.07,37.54,35.53,2.01,52.2,49.66,2.54,1.12,
26.75,25.71,37.93,35.92,48.49,46.13,,,,,28.29,27.25,1.04,37.61,35.6,2.01,52.25,49.91,2.34,1.12,
26.81,25.74,37.96,36.1,48.58,46.41,,,,,28.35,27.28,1.07,37.64,35.78,1.86,52.34,50.19,2.15,0.97,
26.81,25.74,38.04,36.27,48.7,46.57,,,,,28.35,27.28,1.07,37.72,35.95,1.77,52.46,50.35,2.11,0.88,
26.82,25.79,38.07,36.33,48.77,46.53,,,,,28.36,27.33,1.03,37.75,36.01,1.74,52.53,50.31,2.22,0.85,
26.85,25.83,38.13,36.37,48.84,46.64,,,,,28.39,27.37,1.02,37.81,36.05,1.76,52.6,50.42,2.18,0.87,
26.9,25.88,38.17,36.43,48.97,46.7,,,,,28.44,27.42,1.02,37.85,36.11,1.74,52.73,50.48,2.25,0.85,
26.91,25.92,38.23,36.53,49.07,46.81,,,,,28.45,27.46,0.99,37.91,36.21,1.7,52.83,50.59,2.24,0.81,
26.91,25.93,38.26,36.64,49.13,46.83,,,,,28.45,27.47,0.98,37.94,36.32,1.62,52.89,50.61,2.28,0.73,
26.96,25.93,38.32,36.59,49.23,46.95,,,,,28.5,27.47,1.03,38,36.27,1.73,52.99,50.73,2.26,0.84,
26.99,25.93,38.37,36.64,49.35,47.1,,,,,28.53,27.47,1.06,38.05,36.32,1.73,53.11,50.88,2.23,0.84,
27,25.93,38.44,36.64,49.4,47.21,,,,,28.54,27.47,1.07,38.12,36.32,1.8,53.16,50.99,2.17,0.91,
27.02,25.93,38.47,36.66,49.49,46.98,,,,,28.56,27.47,1.09,38.15,36.34,1.81,53.25,50.76,2.49,0.92,
27.06,25.97,38.52,36.83,49.62,46.98,,,,,28.6,27.51,1.09,38.2,36.51,1.69,53.38,50.76,2.62,0.8,
27.08,25.93,38.57,36.93,49.68,47.09,,,,,28.62,27.47,1.15,38.25,36.61,1.64,53.44,50.87,2.57,0.75,
27.09,25.93,38.62,37.05,49.75,47.28,,,,,28.63,27.47,1.16,38.3,36.73,1.57,53.51,51.06,2.45,0.68,
27.12,26.01,38.68,37.16,49.87,47.46,,,,,28.66,27.55,1.11,38.36,36.84,1.52,53.63,51.24,2.39,0.63,
27.17,26.03,38.71,37.15,49.91,47.59,,,,,28.71,27.57,1.14,38.39,36.83,1.56,53.67,51.37,2.3,0.67,
27.17,26.1,38.77,37.06,50.02,47.48,,,,,28.71,27.64,1.07,38.45,36.74,1.71,53.78,51.26,2.52,0.82,
27.18,26.11,38.81,37.15,50.15,47.57,,,,,28.72,27.65,1.07,38.49,36.83,1.66,53.91,51.35,2.56,0.77,
27.22,26.19,38.88,37.15,50.17,47.68,,,,,28.76,27.73,1.03,38.56,36.83,1.73,53.93,51.46,2.47,0.84,
27.26,26.2,38.92,37.08,50.29,47.82,,,,,28.8,27.74,1.06,38.6,36.76,1.84,54.05,51.6,2.45,0.95,
27.26,26.2,38.99,37.06,50.4,47.99,,,,,28.8,27.74,1.06,38.67,36.74,1.93,54.16,51.77,2.39,1.04,
27.28,26.2,39.02,37.03,50.43,48.13,,,,,28.82,27.74,1.08,38.7,36.71,1.99,54.19,51.91,2.28,1.1,
27.32,26.13,39.09,36.94,50.55,48.36,,,,,28.86,27.67,1.19,38.77,36.62,2.15,54.31,52.14,2.17,1.26,
27.35,26.11,39.13,36.97,50.65,48.38,,,,,28.89,27.65,1.24,38.81,36.65,2.16,54.41,52.16,2.25,1.27,
27.35,26.11,39.19,37.06,50.7,48.5,,,,,28.89,27.65,1.24,38.87,36.74,2.13,54.46,52.28,2.18,1.24,
27.38,26.19,39.24,37.16,50.82,48.4,,,,,28.92,27.73,1.19,38.92,36.84,2.08,54.58,52.18,2.4,1.19,
27.42,26.2,39.3,37.24,50.91,48.37,,,,,28.96,27.74,1.22,38.98,36.92,2.06,54.67,52.15,2.52,1.17,
27.44,26.2,39.32,37.25,50.96,48.5,,,,,28.98,27.74,1.24,39,36.93,2.07,54.72,52.28,2.44,1.18,
27.44,26.21,39.4,37.26,51.1,48.53,,,,,28.98,27.75,1.23,39.08,36.94,2.14,54.86,52.31,2.55,1.25,
27.47,26.29,39.42,37.4,51.17,48.24,,,,,29.01,27.83,1.18,39.1,37.08,2.02,54.93,52.02,2.91,1.13,
27.52,26.35,39.51,37.53,51.24,48.24,,,,,29.06,27.89,1.17,39.19,37.21,1.98,55,52.02,2.98,1.09,
27.53,26.38,39.53,37.58,51.37,48.24,,,,,29.07,27.92,1.15,39.21,37.26,1.95,55.13,52.02,3.11,1.06,
27.54,26.46,39.61,37.6,51.45,48.37,,,,,29.08,28,1.08,39.29,37.28,2.01,55.21,52.15,3.06,1.12,
27.57,26.47,39.64,37.68,51.51,48.54,,,,,29.11,28.01,1.1,39.32,37.36,1.96,55.27,52.32,2.95,1.07,
